corpus_type,cause_topic,relation_type,effect_topic,frames,unique_documents,unique_sources,mean_frame_quality,mean_analysis_weight
policy,4,enables_or_supports,2,1,1,1,0.7241355042016806,0.0017230163600280885
policy,4,enables_or_supports,3,12,6,6,0.7412642430299878,0.0016623223283936403
policy,4,enables_or_supports,4,22,5,5,0.6600141737119146,0.002214542183727113
policy,4,enables_or_supports,5,10,6,6,0.7347785613127693,0.002631218657302135
policy,4,enables_or_supports,6,7,7,7,0.712746321255775,0.005528098778641989
policy,4,enables_or_supports,7,13,8,8,0.7438453023378844,0.0034318709041812195
policy,4,enables_or_supports,8,7,4,4,0.6668370902906616,0.004402014533701643
policy,4,expected_to_improve,0,1,1,1,0.6310827053140097,0.00093001931034399
policy,4,expected_to_improve,1,1,1,1,0.47620634920634913,0.014399307203118803
policy,4,expected_to_improve,4,5,2,2,0.6322245184550581,0.002426180207256625
policy,4,expected_to_improve,5,5,3,3,0.5666678083028083,0.0031354065545512533
policy,4,expected_to_improve,6,3,3,3,0.6419760239760239,0.008126509015007995
policy,4,expected_to_improve,7,2,2,2,0.8015126050420167,0.0020669974827571295
policy,4,reduces_or_prevents,2,1,1,1,0.7409852216748769,0.005477082690531495
policy,4,reduces_or_prevents,4,4,1,1,0.698205815018315,0.003206693722280313
policy,4,reduces_or_prevents,5,1,1,1,0.7638961038961039,0.0019187318678449466
policy,4,reduces_or_prevents,6,1,1,1,0.6364285714285713,0.001787426271884709
policy,4,reduces_or_prevents,7,1,1,1,0.6142857142857143,0.002446355005373298
policy,4,requires_or_depends_on,0,4,4,4,0.6467104437229437,0.0036288768709729162
policy,4,requires_or_depends_on,1,2,2,2,0.6445645604395605,0.005646932009815067
policy,4,requires_or_depends_on,3,2,1,1,0.6760949328449328,0.001944579062418155
policy,4,requires_or_depends_on,4,6,2,2,0.6905064033189032,0.006307267334464629
policy,4,requires_or_depends_on,5,1,1,1,0.8400714285714286,0.0022445937778339687
policy,4,requires_or_depends_on,6,1,1,1,0.7391904761904761,0.0021788042652203716
policy,4,requires_or_depends_on,7,2,2,2,0.6455521428571427,0.002383406963414487
policy,4,risks_or_threatens,0,2,2,2,0.6459090909090909,0.0018164239311104428
policy,4,risks_or_threatens,1,1,1,1,0.6019642857142857,0.0007648524635885517
policy,4,risks_or_threatens,4,5,1,1,0.713976972354159,0.00293250566263724
policy,4,risks_or_threatens,5,2,2,2,0.8170488721804511,0.0012254047915594747
policy,4,risks_or_threatens,7,1,1,1,0.7628571428571428,0.003752951704747061
policy,4,risks_or_threatens,8,1,1,1,0.6914285714285714,0.002463592876211071
policy,5,causes_or_increases,0,13,6,6,0.716578201524639,0.0036355729986342063
policy,5,causes_or_increases,1,4,4,4,0.85335354596384,0.0030408903141171595
policy,5,causes_or_increases,2,4,4,4,0.8045342522974102,0.0037117869160622234
policy,5,causes_or_increases,3,5,5,5,0.8183223929854364,0.00184788945950705
policy,5,causes_or_increases,4,8,5,5,0.7582273908523909,0.0018811649501384129
policy,5,causes_or_increases,5,26,6,6,0.7209780424675798,0.0028244122647364516
policy,5,causes_or_increases,6,4,4,4,0.7107505470073405,0.002919438790058901
policy,5,causes_or_increases,7,9,5,5,0.7079673116828936,0.0014699372192279558
policy,5,causes_or_increases,8,7,6,6,0.8059396698807323,0.003997605642614904
policy,5,enables_or_supports,0,12,7,7,0.6293555466524215,0.0018050103395244735
policy,5,enables_or_supports,1,8,6,6,0.6664766889367694,0.0019539179175808476
policy,5,enables_or_supports,2,3,3,3,0.7078234126984126,0.00861853001445986
policy,5,enables_or_supports,3,15,7,7,0.7301832074152039,0.0036364220594383248
policy,5,enables_or_supports,4,12,9,9,0.6858543618449334,0.004681605965128876
policy,5,enables_or_supports,5,111,19,19,0.7369088689596383,0.0049285292646531675
policy,5,enables_or_supports,6,10,7,7,0.7528773086439704,0.007740993376660172
policy,5,enables_or_supports,7,29,15,15,0.7301158984493061,0.004676695437522465
policy,5,enables_or_supports,8,18,4,4,0.690143145333486,0.0014020355586372717
policy,5,expected_to_improve,0,5,4,4,0.6745042543663233,0.010896351945894835
policy,5,expected_to_improve,1,1,1,1,0.4492142857142857,0.0026398502318519816
policy,5,expected_to_improve,3,2,2,2,0.8599196428571427,0.002246765059560934
policy,5,expected_to_improve,4,3,3,3,0.7287799145299144,0.010914501383721445
policy,5,expected_to_improve,5,17,8,8,0.6673425354006599,0.007077090019916681
policy,5,expected_to_improve,6,6,6,6,0.8184425661596856,0.007996040616993608
policy,5,expected_to_improve,7,8,5,5,0.7083753046891833,0.0013546759961046329
policy,5,expected_to_improve,8,4,4,4,0.8125346203689255,0.0012691545454624055
policy,5,reduces_or_prevents,0,1,1,1,0.6228571428571428,0.0007846248195893927
policy,5,reduces_or_prevents,1,1,1,1,0.6742857142857143,0.0026220969267986504
policy,5,reduces_or_prevents,2,1,1,1,0.8075675675675675,0.009235993650200289
policy,5,reduces_or_prevents,3,1,1,1,0.7727272727272727,0.002550947503094835
policy,5,reduces_or_prevents,4,1,1,1,0.7201680672268906,0.0009322765059500342
