cause_topic,relation_type,effect_topic,policy_share,sentiment_share,signed_gap,absolute_gap,log_ratio,cause_topic_code,effect_topic_code,policy_frames,policy_documents,policy_sources,policy_mean_quality,policy_mean_assignment_confidence,sentiment_frames,sentiment_documents,sentiment_sources,sentiment_mean_quality,sentiment_mean_assignment_confidence,documentary_support_score,evidence_rank_score
0,risks_or_threatens,6,0.004969640541851525,0.0008019478604568265,0.004167692681394698,0.004167692681394698,1.8240487396930136,P0,P6,4,3,3,0.6527782772782773,0.4076799471297004,1,1,1,0.7685714285714286,0.2821588682657712,1.6094379124341003,0.006707642608810761
0,risks_or_threatens,7,6.675707459612998e-05,0.0,6.675707459612998e-05,6.675707459612998e-05,8.806380249750374,P0,P7,1,1,1,0.6224436090225564,0.18567002532699922,0,0,0,,,0.6931471805599453,4.627247803873745e-05
0,risks_or_threatens,8,9.037593839764536e-05,0.0,9.037593839764536e-05,9.037593839764536e-05,9.109258892588656,P0,P8,2,2,2,0.6539821428571428,0.2213443631156689,0,0,0,,,1.0986122886681096,9.928811652356525e-05
1,causes_or_increases,0,0.00027719064539821287,0.015738211317673015,-0.015461020672274802,0.015461020672274802,-4.039105916036764,P1,P0,4,3,3,0.7259781551509492,0.24140645437452168,7,5,5,0.7628067137867711,0.3706088985781099,2.1972245773362196,0.033971334611825554
1,causes_or_increases,1,0.004853028192083312,0.03725335814217886,-0.03240032995009555,0.03240032995009555,-2.038137420481643,P1,P1,33,8,8,0.7796591753698437,0.4498578590652357,7,4,4,0.7664443026830244,0.39357618732038546,2.5649493574615367,0.08310520548703937
1,causes_or_increases,2,9.282382531887704e-05,0.0,9.282382531887704e-05,9.282382531887704e-05,9.13598125633802,P1,P2,1,1,1,0.807142857142857,0.1262529591403314,0,0,0,,,0.6931471805599453,6.434057280856849e-05
1,causes_or_increases,3,0.0005851323919384796,0.0002850036145428619,0.00030012877739561775,0.00030012877739561775,0.7193182731831861,P1,P3,5,5,5,0.6594702190258255,0.3118001582363062,1,1,1,0.8245238095238094,0.3382614043885952,1.9459101490553132,0.0005840236339576955
1,causes_or_increases,4,0.00027287594788997523,0.001368489806628699,-0.0010956138587387238,0.0010956138587387238,-1.61241645258249,P1,P4,3,2,2,0.8483652841253461,0.3344645175279055,2,1,1,0.6876015243902439,0.5524950627284686,1.3862943611198906,0.0015188433143342973
1,causes_or_increases,5,0.0008270237897706397,0.00392893879937715,-0.0031019150096065107,0.0031019150096065107,-1.5582816355728832,P1,P5,5,4,4,0.7272781267065914,0.47874762130149495,4,4,4,0.6478124723573639,0.22236703812852499,2.1972245773362196,0.0068156038959155405
1,causes_or_increases,6,0.001535367411294605,0.0011601576007493964,0.0003752098105452087,0.0003752098105452087,0.28021174328197823,P1,P6,12,7,7,0.7815516335919068,0.31932426884953663,2,2,2,0.9001196172248803,0.30367619824224257,2.302585092994046,0.0008639525165065176
1,causes_or_increases,7,0.00019472563256876674,0.0,0.00019472563256876674,0.00019472563256876674,9.876813094301317,P1,P7,2,2,2,0.7464810744810744,0.5298954784464835,0,0,0,,,1.0986122886681096,0.0002139279728587182
1,causes_or_increases,8,0.0018033343097729492,0.0010122992005636143,0.000791035109209335,0.000791035109209335,0.5774088325690171,P1,P8,11,6,6,0.7697429106636187,0.34194598537027066,2,2,2,0.7068891926786662,0.3502999780758188,2.1972245773362196,0.0017380817834905912
1,enables_or_supports,0,0.0008298127880451245,0.0021855869231969223,-0.0013557741351517979,0.0013557741351517979,-0.9684320919990723,P1,P0,4,4,4,0.6871283251954763,0.23778836064832337,5,2,2,0.6668999999999998,0.4358128248065693,1.9459101490553132,0.0026382146494185734
1,enables_or_supports,1,0.007394028530042419,0.005217359085874305,0.0021766694441681146,0.0021766694441681146,0.34868080318540684,P1,P1,36,9,9,0.6908106758734845,0.5339019240752679,8,3,3,0.676348370480326,0.4968845781808039,2.5649493574615367,0.005583046892225166
1,enables_or_supports,2,0.0002716167375862512,0.0,0.0002716167375862512,0.0002716167375862512,10.209599021548371,P1,P2,2,2,2,0.7686567028985507,0.49522841136906587,0,0,0,,,1.0986122886681096,0.00029840148572019676
1,enables_or_supports,3,0.0007568801712970149,0.0031374647993258104,-0.0023805846280287955,0.0023805846280287955,-1.4219553925605615,P1,P3,6,5,5,0.7242700384800385,0.38788791180677945,3,3,3,0.8086498015873015,0.5229805014387011,2.1972245773362196,0.005230679053133671
1,enables_or_supports,4,0.0004910108965737508,0.005046158090790902,-0.004555147194217151,0.004555147194217151,-2.3298977542345627,P1,P4,4,3,3,0.6746383241758241,0.2618962576121784,3,3,3,0.5192613481289952,0.2661492342332971,1.9459101490553132,0.008863907155667988
1,enables_or_supports,5,0.0004563056817312713,0.0014163298146249463,-0.000960024132893675,0.000960024132893675,-1.1326463730479246,P1,P5,4,3,3,0.7039258768724881,0.2962198874529644,4,3,3,0.7283763776078993,0.2851548175789611,1.9459101490553132,0.001868120703535829
1,enables_or_supports,6,0.0012884775974890232,0.0010701233861035075,0.00021835421138551568,0.00021835421138551568,0.18568582490763758,P1,P6,8,6,6,0.6774164438046678,0.4404012382123192,2,2,2,0.6787354497354496,0.3258034672292639,2.1972245773362196,0.0004797732398211232
1,enables_or_supports,7,0.0016842121900846538,0.0017988308700419206,-0.00011461867995726685,0.00011461867995726685,-0.06583864741022985,P1,P7,6,6,6,0.7089197595704948,0.4245734429865513,5,1,1,0.6903894440853262,0.4311379178725366,2.0794415416798357,0.00023834284455564667
1,enables_or_supports,8,0.00043259642166292364,0.0005782032461640137,-0.00014560682450109002,0.00014560682450109002,-0.2901143808794019,P1,P8,2,2,2,0.6173575,0.2448073023580227,2,1,1,0.7023107843137255,0.3680397060409788,1.3862943611198906,0.0002018539197464346
1,expected_to_improve,0,0.0003391475679446639,0.0013809827725418838,-0.0010418352045972199,0.0010418352045972199,-1.4040931183094774,P1,P0,3,2,2,0.759953601953602,0.27146543831914044,2,2,2,0.6659330357142856,0.3386562125355358,1.6094379124341003,0.0016767690767873033
1,expected_to_improve,1,0.0006325643300261561,0.00021643467177984624,0.0004161296582463099,0.0004161296582463099,1.072462774341637,P1,P1,4,1,1,0.7395934986897985,0.5569392822778585,1,1,1,0.6638571428571428,0.2645695808917237,1.0986122886681096,0.0004571651562286568
1,expected_to_improve,2,0.0001606360433340146,0.0,0.0001606360433340146,0.0001606360433340146,9.684373642139995,P1,P2,2,2,2,0.5252142857142856,0.2500735391625841,0,0,0,,,1.0986122886681096,0.0001764767312097714
1,expected_to_improve,3,0.0003700249465226308,0.0,0.0003700249465226308,0.0003700249465226308,10.5187676372274,P1,P3,3,3,3,0.6689786324786325,0.5272315480520092,0,0,0,,,1.3862943611198906,0.0005129634968380121
1,expected_to_improve,4,0.0,0.00026106049778435505,-0.00026106049778435505,0.00026106049778435505,-10.169960663292072,P1,P4,0,0,0,,,1,1,1,0.5957857142857143,0.24620010360461578,0.6931471805599453,0.00018095334799480154
1,expected_to_improve,5,0.0001291945089030352,0.0,0.0001291945089030352,0.0001291945089030352,9.466566675357953,P1,P5,2,2,2,0.6010546218487394,0.12649465492192405,0,0,0,,,1.0986122886681096,0.00014193467510931597
1,expected_to_improve,6,0.00015930455587065395,0.0,0.00015930455587065395,0.00015930455587065395,9.676050772682379,P1,P6,3,3,3,0.7088809523809524,0.14070766225509312,0,0,0,,,1.3862943611198906,0.00022084300750419613
1,expected_to_improve,7,0.0003792077615370583,0.0,0.0003792077615370583,0.0003792077615370583,10.543280794768485,P1,P7,2,2,2,0.642673669467787,0.3435150409527329,0,0,0,,,1.0986122886681096,0.0004166023067829383
1,expected_to_improve,8,0.00022874905630204168,0.0,0.00022874905630204168,0.00022874905630204168,10.037839479751483,P1,P8,2,2,2,0.8281220397249809,0.6080201269563705,0,0,0,,,1.0986122886681096,0.00025130652427465626
